,book_title,author,publisher,published_date,ISBN_10,ISBN_13,page_count,average_rating,rating_count,country,amount,currency,published_year
487,What on Earth Am I Here For?,['Rick Warren'],Purpose Driven Life,2004-10-22,0310264839,9780310264835,64,4.5,166,,,,2004
488,The Kite Runner,['Khaled Hosseini'],Riverhead Trade (Paperbacks),2013-03-05,159463193X,9781594631931,371,4,582,,,,2013
489,The Kite Runner,['Khaled Hosseini'],A&C Black,2011-09-05,140882485X,9781408824856,336,4,3473,,,,2011
490,The Kite Runner (play Script),['Matthew J. Spangler'],Penguin,2018,0735218064,9780735218062,132,,,,,,2018
491,The Kite Runner Graphic Novel,['Khaled Hosseini'],Penguin,2011,159448547X,9781594485473,132,4.5,7,,,,2011
492,A Study Guide for Khaled Hosseini's The Kite Runner,"['Gale, Cengage Learning']","Gale, Cengage Learning ",2015-03-13,1410320421,9781410320421,15,,,US,3.99,USD,2015
493,The Kite Runner,['Khaled Hosseini'],Bloomsbury Publishing,2013-01-01,1408845822,9781408845820,352,4,3469,,,,2013
495,"The Kite Runner, Khaled Hosseini","['Khaled Hosseini', 'Calum Kerr']",Longman Publishing Group,2009,1408217295,9781408217290,135,,,,,,2009
496,Quicklet On The Kite Runner By Khaled Hosseini (CliffNotes-like Book Summary),['Karen Lac'],Hyperink Inc,2011-11-07,1614640971,9781614640974,70,,,,,,2011
497,The Kite Runner,['Khaled Hosseini'],Bloomsbury UK,2011,1408815257,9781408815250,132,,,,,,2011
498,Valley of the Dolls 50th Anniversary Edition,['Jacqueline Susann'],"Grove/Atlantic, Inc.",2016-07-04,0802125352,9780802125354,496,3.5,49,,,,2016
499,Valley of the Dolls: 50th Anniversary Edition,['Jacqueline Susann'],Tiger L.L.C.,2016-06-22,099631783X,9780996317832,496,5,7,US,9.99,USD,2016
501,Dolls! Dolls! Dolls!,['Stephen Rebello'],Penguin Books,2020,8425317045,9788425317040,352,4,1,,,,2020
503,El Valle de las muñecas,['Jacqueline Susann'],Lectorum Publications,1985,0996317805,9780996317801,407,,,,,,1985
506,Valley of the Dolls: 50th Anniversary Edition,['Jacqueline Susann'],Tiger L.L.C.,2016-06-22,,,496,5,7,US,9.99,USD,2016
507,Valley of the Dolls,['Jacqueline Susann'],Tiger LLC,2015-05-28,,,476,,,,,,2015
508,The Great Gatsby,['F. Scott Fitzgerald'],Simon and Schuster,2003-05-27,074324639X,9780743246392,165,3.5,3111,US,1.99,USD,2003
509,The Great Gatsby,['F. Scott Fitzgerald'],Pocket Books,2020-11-17,1982146702,9781982146702,208,,,,,,2020
511,The Great Gatsby,['F. Scott Fitzgerald'],CreateSpace,2013-12-01,3159504786,9781494345549,136,3.5,3020,,,,2013
512,Lektüreschlüssel. F. Scott Fitzgerald: The Great Gatsby,['Andrew Williams'],Reclam Verlag,2014-02-05,9385031597,9783159504780,96,,,US,3.99,USD,2014
513,"The Achieving of The Great Gatsby, F. Scott Fitzgerald, 1920-1925","['Robert C. Long', 'Robert Emmet Long']",Associated University Press,1979,1101908297,9789385031595,226,,,,,,1979
515,The Great Gatsby,['F. Scott Fitzgerald'],Everyman's Library,2021,8193607007,9788172344566,208,,,,,,2021
517,The Great Gatsby,"['F. Scott Fitzgerald', 'SBP Editors']",Samaira Book Publishers,2017-11-07,,,160,,,,,,2017
518,Gone with the Wind,['Margaret Mitchell'],Simon and Schuster,2007-11-01,1416573461,9781416573463,960,4.5,4,US,9.99,USD,2007
519,Gone with the Wind,"['Margaret Mitchell', 'General Press']",GENERAL PRESS,2019-02-06,9388760123,9789388760126,896,4.5,2993,,,,2019
520,"Margaret Mitchell's Gone with the Wind Letters, 1936-1949",['Margaret Mitchell'],Simon & Schuster Books For Young Readers,1986,0020209509,9780020209508,441,,,,,,1986
521,Ruth's Journey,['Donald McCaig'],Simon and Schuster,2015-08-04,1451643543,9781451643541,400,3,10,,,,2015
522,Margaret Mitchell's Gone With the Wind,"['Ellen F. Brown', 'John Wiley Jr.']",Taylor Trade Publications,2011-02-16,158979527X,9781589795273,432,4,12,US,9.99,USD,2011
523,Gone with the Wind,"['Margaret Mitchell', 'Digital Fire']",DIGITAL FIRE,2019-11-07,9388760808,9789388760805,1150,,,,,,2019
524,The Scarlett Letters,['John Wiley Jr.'],Rowman & Littlefield,2014-10-08,1589798732,9781589798731,536,5,1,US,16.99,USD,2014
525,Margaret Mitchell & John Marsh,['Marianne Walker'],Peachtree Publishers,2011-09-01,1561456179,9781561456178,554,5,1,,,,2011
526,The Irish Roots of Margaret Mitchell's Gone with the Wind,"[""David O'Connell""]","Claves & Petry, Limited",1996,0965309304,9780965309301,121,,,,,,1996
527,The Making of Gone With The Wind,['Steve Wilson'],University of Texas Press,2014-09-01,0292761260,9780292761261,352,5,1,,,,2014
528,Rebecca,['Daphne Du Maurier'],Virago Press,2015,0349006571,9780349006574,432,4,2805,,,,2015
529,Rebecca,['Daphne Du Maurier'],Virago Press,2012,1844088790,9781844088799,448,,,,,,2012
530,Rebecca,['Clifford Williams'],Samuel French Limited,1994,0573113653,9780573113659,67,,,,,,1994
533,Rebecca,"['Daphne du Maurier', 'Daphne Maurier']",Suhrkamp Verlag,2016-03-07,0752478850,9780752478852,524,,,,,,2016
534,Rebecca Code,['Mark Simmons'],The History Press,2011-11-30,2226343253,9782226343253,192,,,US,2.99,USD,2011
535,Rebecca,"['Daphné Du Maurier', 'Anouk Neuhoff']",Albin Michel,2015-03-02,0349007683,9780349007687,544,,,,,,2015
536,Rebecca Mug,['Daphne Du Maurier'],Virago Press,2015-11-26,1405523824,9781405523820,,,,,,,2015
537,Daphne du Maurier Omnibus 4,['Daphne du Maurier'],Virago,2012-12-06,,,800,,,,,,2012
538,Nineteen Eighty-Four,['George Orwell'],BoD - Books on Demand,2021-01-01,9198577816,9789198577815,276,4,544,,,,2021
539,Orwell's Nineteen Eighty-four,['George Orwell'],Harcourt,1982,0140817743,9780140817744,450,,,,,,1982
541,On Nineteen Eighty-Four,['D.J. Taylor'],Abrams,2019-10-22,1432839683,9781432839680,208,,,US,15.29,USD,2019
542,"Nineteen Eighty-four, [by] George Orwell","['George Orwell', 'Michael Sherborne']",York Notes Advanced,2005,1400826640,9781400826643,112,,,,,,2005
543,Nineteen Eighty-four,['George Orwell'],Large Print Press,2017-04-05,0718193644,9780718193645,499,,,,,,2017
544,On Nineteen Eighty-Four,"['Abbott Gleason', 'Jack Goldsmith', 'Martha C. Nussbaum']",Princeton University Press,2010-07-28,3638775186,9783638775182,328,,,US,38.95,USD,2010
545,Nineteen Eighty-Four,['George Orwell'],Penguin UK,2013-02-07,0241430976,9780241430972,416,5,1,,,,2013
546,"George Orwell, Nineteen Eighty-Four: Winston Smith's Rebellion",['Gaby Schneidereit'],GRIN Verlag,2007-08-24,,,40,,,,,,2007
547,Penguin Readers Level 7: Nineteen Eighty-Four,['George Orwell'],Particular Books,2020-03-03,,,112,,,,,,2020
550,Mud on the Stars,['William Bradford Huie'],University of Alabama Press,1996-10-21,1527844897,9781527844896,375,,,,,,1996
551,He Slew the Dreamer,['William Bradford Huie'],Univ. Press of Mississippi,2018-11-15,1496820657,9781496820655,240,,,US,25,USD,2018
552,Literary Profiles of the Southern States,['David James Harkness'],Forgotten Books,2017-10-27,,,90,,,,,,2017
555,The Klansman,['William Bradford Huie'],London : W. H. Allen,1967,,,303,,,,,,1967
558,The Girl with the Dragon Tattoo,['Stieg Larsson'],Vintage Books,2011-11,0307949486,9780307949486,644,,,,,,2011
559,Girl with the Dragon Tattoo Trilogy Bundle,['Stieg Larsson'],Vintage Crime/Black Lizard,2011-11-29,0307950638,9780307950635,1800,3.5,100,US,24.99,USD,2011
560,Stieg Larsson,['Kurdo Baksi'],Simon and Schuster,2011-06-21,1451647158,9781451647150,192,,,US,10.99,USD,2011
561,The Girl with the Dragon Tattoo,['Stieg Larsson'],Vintage Books,2009,0307454541,9780307454546,600,3.5,2848,,,,2009
562,The Girl with the Dragon Tattoo,['Stieg Larsson'],Alfred a Knopf Incorporated,2008,0307269752,9780307269751,465,3.5,2831,,,,2008
564,The Psychology of the Girl with the Dragon Tattoo,"['Robin S. Rosenberg', ""Shannon O'Neill""]","BenBella Books, Inc.",2011-12-06,1936661357,9781936661350,304,4,1,US,14.99,USD,2011
565,The Tattooed Girl,"['Dan Burstein', 'Arne de Keijzer', 'John-Henri Holmberg']",St. Martin's Griffin,2011-05-10,1429983671,9781429983679,384,,,US,11.99,USD,2011
566,Stieg Larsson: Author of The Girl With the Dragon Tattoo,['Noelle Angelica Simon'],Hyperink Inc,2012-05-15,1614643008,9781614643005,25,,,,,,2012
567,The Girl in the Spider's Web,['David Lagercrantz'],Hachette UK,2015-08-27,1848667779,9781848667778,448,,,,,,2015
568,The Lost Symbol,['Dan Brown'],Anchor,2012-05-01,0307950689,9780307950680,624,3.5,106,,,,2012
569,The Lost Symbol,['Dan Brown'],Anchor,2009-09-15,0385533136,9780385533133,528,3.5,105,US,9.99,USD,2009
570,The Lost Symbol: Special Illustrated Edition,['Dan Brown'],Doubleday,2010-11-02,0385534507,9780385534505,480,2,1,US,11.99,USD,2010
571,Dan Brown's The Lost Symbol,['Alex Carmine'],Punked Books,2009,1908375019,9781908375018,156,4.5,7,,,,2009
572,Decoding The Lost Symbol,['Simon Cox'],Simon and Schuster,2009-11-03,1439172617,9781439172612,256,3.5,6,US,12.99,USD,2009
573,The Lost Symbol Illustrated edition,['Dan Brown'],Random House,2010-11-11,1409057976,9781409057970,528,4,5,,,,2010
576,Deciphering the Lost Symbol,['Christopher Hodapp'],Ulysses Press,2010-01,1569757739,9781569757734,189,,,,,,2010
577,Secrets of The Lost Symbol,"['Daniel Burstein', 'Arne de Keijzer']",Harper Collins,2010-10-19,0061964972,9780061964978,432,,,,,,2010
579,The Hunger Games: Special Edition,['Suzanne Collins'],Scholastic Inc.,2009-09-01,0545229936,9780545229937,384,4,7112,US,7.99,USD,2009
580,"Of Bread, Blood and The Hunger Games","['Mary F. Pharr', 'Leisa A. Clark', 'Donald E. Palumbo', 'C.W. Sullivan III']",McFarland,2012-07-10,0786470194,9780786470198,256,4,5,,,,2012
581,The Hunger Games Complete Trilogy,['Suzanne Collins'],Scholastic UK,2013-10-03,1407139983,9781407139982,1344,4.5,4,,,,2013
582,The Hunger Games Trilogy,['Suzanne Collins'],Scholastic Inc.,2011-05-01,0545387205,9780545387200,1187,4,1473,US,25.99,USD,2011
583,"Hunger Games 4-Book Hardcover Box Set (the Hunger Games, Catching Fire, Mockingjay, the Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Press,2020-10-06,1338686534,9781338686531,1872,,,,,,2020
585,"Hunger Games 4-Book Digital Collection (The Hunger Games, Catching Fire, Mockingjay, The Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Inc.,2020-10-06,1338715259,9781338715255,,,,US,42.99,USD,2020
586,Violence in Suzanne Collins' The Hunger Games Trilogy,['Gary Wiener'],Greenhaven Publishing LLC,2014-08-21,0737770686,9780737770681,200,,,US,51.04,USD,2014
587,The Panem Companion,['V. Arrow'],"BenBella Books, Inc.",2012-12-04,1937856275,9781937856274,224,3.5,6,US,14.99,USD,2012
595,Nothing But the Truth,['Joseph Berger'],New York : John Day Company,1971,,,286,,,,,,1971
596,Russian Prose Writers Between the World Wars,"['Gale Group', 'Gale Cengage']",Gale / Cengage Learning,2003,,,580,,,,,,2003
600,Who Moved My Cheese?,['Spencer Johnson'],Penguin,1998-09-08,1101495871,9781101495872,96,3.5,3204,US,11.99,USD,1998
601,Who Moved My Cheese,['Spencer Johnson'],Random House,2015-03-20,1446458520,9781446458525,96,4,5,,,,2015
602,"Summary Of ""Who Moved My Cheese? - By Spencer Johnson""",['Sapiens Editorial'],Sapiens Editorial,2018-04-01,3963761873,9783963761874,20,,,US,3.99,USD,2018
603,Who Moved My Cheese?,"['Spencer Johnson', 'Steve Pileggi']",Putnam Publishing Group,2003,0399240160,9780399240164,61,4.5,3,,,,2003
604,Who Moved My Cheese? - Gujarati eBook,['Spencer Johnson M.D.'],R R Sheth & Co Pvt Ltd,2019-06-29,938888261X,9789388882613,96,,,US,3.99,USD,2019
608,Spencer Johnson's Who Moved My Cheese? Summary,['Ant Hive Media'],Createspace Independent Publishing Platform,2016-03-21,0970565100,9780970565105,30,,,,,,2016
609,Who Moved My Cheese Change Survival Kit,"['Spencer Johnson', 'Kenneth Blanchard']",Putnam Berkley Audio,2000-10-01,,,,,,,,,2000
610,A Brief History of Time,['Stephen Hawking'],Bantam,2011-05-04,055389692X,9780553896923,224,3.5,90,US,9.99,USD,2011
611,The Illustrated a Brief History of Time,['Stephen Hawking'],Bantam,1996,0553103741,9780553103748,248,4,11,,,,1996
612,A Brief History of Time,['Stephen Hawking'],Bantam Press,2011-08-01,0857501003,9780857501004,240,3.5,80,,,,2011
614,A Briefer History of Time,"['Stephen Hawking', 'Leonard Mlodinow']",Bantam,2008,0553385461,9780553385465,162,2.5,8,,,,2008
615,Stephen Hawking's A Brief History of Time,['Stephen W. Hawking'],Bantam Dell Publishing Group,1992,0553077724,9780553077728,194,1,1,,,,1992
616,A Brief History Of Time,['Stephen Hawking'],Random House,2009-11-10,1409092364,9781409092360,272,4.5,20,,,,2009
617,Stephen Hawking Deluxe Set,['Stephen W. Hawking'],Bantam Dell Publishing Group,2002-10,0553676431,9780553676433,,,,,,,2002
619,A Brief History of Time - Summarized for Busy People: Based On the Book By Stephen Hawking,['Goldmine Reads'],"Lulu Press, Inc",2018-07-27,1387979639,9781387979639,,,,US,2.99,USD,2018
624,Paul & Virginia,['Bernardin de Saint-Pierre'],Peter Owen Limited,2005,,,142,3,1,,,,2005
629,Paul und Virginie,['Jacques Henri Bernardin de Saint-Pierre'],BoD – Books on Demand,2015-02-19,,,108,,,,,,2015
632,Lust for Life,['Irving Stone'],Plume,1984,0452262496,9780452262492,489,4,6,,,,1984
642,The Wind in the Willows,['Kenneth Grahame'],Pan Macmillan,2017-03-23,1509846700,9781509846702,,4,146,US,0.99,USD,2017
644,The Wind in the Willows,['Kenneth Grahame'],Createspace Independent Publishing Platform,2017-01-23,1604334789,9781604334784,158,4,142,,,,2017
645,The Wind in the Willows,['Kenneth Grahame'],Applesauce Press,2014-04-29,0393057747,9780393057744,72,,,,,,2014
646,The Annotated Wind in the Willows,['Kenneth Grahame'],W. W. Norton & Company,2009,1772266027,9781772266023,384,5,2,,,,2009
647,The Wind in the Willows (100 Copy Limited Edition),['Kenneth Grahame'],SF Classic,2018-11-13,1473319412,9781473319417,140,,,,,,2018
651,Kenneth Grahame's The Wind in the Willows,"['Jackie C. Horne', 'Donna R. White']",Scarecrow Press,2009-11-25,,,302,,,,79.5,USD,2009
654,The 7 Habits of Highly Effective People,['Stephen R. Covey'],Simon and Schuster,2013-11-19,1451639619,9781451639612,391,4.5,4,,,,2013
656,The 7 Habits of Highly Effective People,['Stephen R. Covey'],Simon and Schuster,2004,0743272455,9780743272452,372,4.5,23,,,,2004
657,The 7 Habits of Highly Effective People Personal Workbook,['Stephen R. Covey'],Simon and Schuster,2004-03-29,0743267036,9780743267038,192,5,2,US,13.99,USD,2004
659,The 7 Habits of Highly Effective People,"['Stephen R. Covey', 'Sean Covey']",Simon & Schuster,2020-05-19,1982137134,9781982137137,464,,,,,,2020
660,The 7 Habits of Highly Effective Families,['Stephen R. Covey'],St. Martin's Press,2014-08-05,1466874325,9781466874329,390,4,4,US,11.99,USD,2014
661,The 7 Habits Journal,['Stephen R. Covey'],Simon and Schuster,2002-08-27,0743237064,9780743237062,176,,,,,,2002
662,The 7 Habits of Highly Effective Families,['Stephen R. Covey'],Macmillan,1997-09-15,0307440087,9780307440082,390,4,4,,,,1997
663,The 7 Habits of Highly Effective People,['Stephen R. Covey'],Rosetta Books,2013-11-15,0795336403,9780795336409,432,4,2,US,17.99,USD,2013
664,Virgin Soil Upturned,"['Mikhail Aleksandrovich Sholokhov', 'R. C. Daglish']",University Press of the Pacific,2000-12-01,0898751144,9780898751147,468,,,,,,2000
669,"Virgin Soil Upturned, Book Two",['Mikhail Aleksandrovich Sholokhov'],Imported Publication,1986-03-01,,,,,,,,,1986
674,The Celestine Prophecy,['James Redfield'],Grand Central Publishing,2008-08-01,0446545554,9780446545556,247,3,3733,US,13.99,USD,2008
675,The Celestine Vision,['James Redfield'],Grand Central Publishing,2001-04-15,0759522898,9780759522893,272,5,1,US,5.99,USD,2001
676,The Celestine Prophecy,"['James Redfield', 'St. Leger Joynes', 'Monty Joynes']",Hampton Roads Publishing Company Incorporated,2005,1571744584,9781571744586,163,,,,,,2005
677,The Song of Celestine,"['James Redfield', 'Dee Lillegard', 'Dean Morrissey']",Little Brown & Company,1998,0316739235,9780316739238,48,,,,,,1998
678,The Tenth Insight,['James Redfield'],Grand Central Publishing,2009-11-29,0446571296,9780446571296,256,4.5,5,US,12.99,USD,2009
679,Celestine Prophecy,['James Redfield'],Transworld Publishers,2012-05,0857501577,9780857501578,64,,,,,,2012
680,The Secret of Shambhala,['James Redfield'],Grand Central Publishing,2001-04-15,0759522901,9780759522909,256,5,5,US,11.99,USD,2001
681,The Twelfth Insight,['James Redfield'],Grand Central Publishing,2011-02-15,044657595X,9780446575959,240,3,22,US,11.99,USD,2011
684,The Fault in Our Stars,['John Green'],Dutton Books for Young Readers,2018,0525555749,9780525555742,576,4.5,1699,,,,2018
687,The Fault in Our Stars Songbook,['Hal Leonard Corp.'],Hal Leonard Corporation,2014-08-01,1495004775,9781495004773,104,5,1,US,16.99,USD,2014
690,The Fault in Our Stars: A 30-minute Summary of the John Green Novel,['Instaread Summaries'],Instaread Summaries,2014-10-21,,,50,,,US,4.99,USD,2014
691,"Mortality in the novel ""The Fault in Our Stars"" by John Green. An exploration of the theme with reference to the cancer patients Hazel Grace and Augustus Waters",['Rahul Gautam'],GRIN Verlag,2016-08-23,3668281572,9783668281578,14,,,US,14.86,USD,2016
692,The Fault in Our Stars by John Green a 30-Minute Summary,"['Instaread Summaries', 'John Green']",CreateSpace,2014-05-09,1499513623,9781499513622,76,,,,,,2014
695,The Shack,['William P. Young'],Windblown Media,2008-06-20,0964729296,9780964729292,256,3.5,2096,US,9.99,USD,2008
696,The Shack,['Wm. Paul Young'],Windblown Media,2008-09-02,0964729288,9780964729285,384,4.5,39,,,,2008
697,The Shack,['Wm. Paul Young'],Windblown Media,2012-10-02,1455523046,9781455523047,384,5,1,US,11.99,USD,2012
698,The Shack,['William P. Young'],Windblown Media,2008-07-01,0964729237,9780964729230,256,3,8469,,,,2008
700,Summary of the Shack by William P. Young - Finish Entire Novel in 15 Minutes,['Speedyreads'],Blurb,2018-04-24,1388846993,9781388846992,48,,,,,,2018
701,The Shack Revisited,['C. Baxter Kruger'],FaithWords,2012-10-02,1455516813,9781455516810,304,4,3,US,10.99,USD,2012
704,The Godfather,['Mario Puzo'],Random House,2009-01-01,0099528126,9780099528128,595,4,93,,,,2009
705,The Godfather,['Mario Puzo'],Penguin,2005,0451217403,9780451217400,433,4.5,18,,,,2005
706,The Godfather,['Mario Puzo'],Penguin,2005-10-04,1101043113,9781101043110,496,,,US,9.99,USD,2005
707,The Godfather Returns,['Mark Winegardner'],"Random House Digital, Inc.",2005,0345478983,9780345478986,538,,,,,,2005
708,The Godfather,"['Mario Puzo', 'Chris Rice']",Penguin Longman,1998,0582402417,9780582402416,56,4,88,,,,1998
709,The Making of the Godfather,['Mario Puzo'],Grand Central Publishing,2013-04-23,1455548936,9781455548934,42,,,US,0.99,USD,2013
711,"A Study Guide for Mario Puzo's ""The Godfather""","['Gale, Cengage Learning']","Gale, Cengage Learning ",2016-06-29,1410346927,9781410346926,31,,,US,3.99,USD,2016
712,The Godfather Notebook,['Francis Ford Coppola'],Simon and Schuster,2016-12-20,1942872313,9781942872313,784,4,1,US,29.99,USD,2016
713,The Godfather's Revenge,['Mark Winegardner'],Penguin,2007-11-06,1101211296,9781101211298,624,,,US,9.99,USD,2007
715,Love Story [Fiftieth Anniversary Edition],['Erich Segal'],HarperCollins,2020-02-04,0063026023,9780063026025,176,3.5,41,US,7.99,USD,2020
716,Love Story,['Erich Segal'],VERGARA (SELLO),2011,8466648860,9788466648868,171,,,,,,2011
720,Love story [texte (gros caractères)],['Erich Segal'],Aylmer [Québec] : Éditions Jouvence,1992*,1568955200,9781568955209,233,,,,,,1992
721,Only Love,['Erich Segal'],Wheeler Pub Incorporated,1997,1444711563,9781444711561,265,3,1,,,,1997
724,Catching Fire,['Suzanne Collins'],Scholastic Press,2013,0545586178,9780545586177,391,3,5,,,,2013
725,"Hunger Games 4-Book Digital Collection (The Hunger Games, Catching Fire, Mockingjay, The Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Inc.,2020-10-06,1338715259,9781338715255,,,,US,42.99,USD,2020
726,Catching Fire,['Suzanne Collins'],Ernst Klett Sprachen GmbH,2015-04-13,3125781698,9783125781696,341,,,,,,2015
727,Catching Fire: the Hungar Games by Suzanne Collins -- Review,['Expert Book Reviews'],CreateSpace,2014-01-07,1494885905,9781494885908,40,,,,,,2014
729,The Hunger Games: Catching Fire: The Official Illustrated Movie Companion,['Kate Egan'],Scholastic Inc.,2013-11-22,0545647142,9780545647144,160,4,10,US,11.99,USD,2013
730,Catching Fire,"['Expert Book Reviews', 'Suzanne Collins']",CreateSpace,2014-02-23,1496035534,9781496035530,40,,,,,,2014
731,Quicklet on Suzanne Collins' Catching Fire (CliffNotes-like Book Summary and Analysis),['Stephanie Seales'],Hyperink Inc,2012-07-30,1614646309,9781614646303,29,,,,,,2012
732,"Hunger Games 4-Book Hardcover Box Set (the Hunger Games, Catching Fire, Mockingjay, the Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Press,2020-10-06,1338686534,9781338686531,1872,,,,,,2020
735,"Hunger Games 4-Book Digital Collection (The Hunger Games, Catching Fire, Mockingjay, The Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Inc.,2020-10-06,1338715259,9781338715255,,,,US,42.99,USD,2020
736,Mockingjay: by Suzanne Collins - Review,['Expert Book Reviews'],CreateSpace,2014-01-11,1494945258,9781494945251,44,,,,,,2014
737,Mockingjay: The Hunger Games - Book Three (Study Guide),['BookCaps Study Guides Staff'],BookCaps Study Guides,2011,161042901X,9781610429016,,5,7,US,3.97,USD,2011
739,"The Mockingjay, symbol of a revolution. Power and dangers of mass media in ""The Hunger Games"" trilogy by Suzanne Collins",['Iris Strimitzer'],GRIN Verlag,2016-10-24,3668325863,9783668325869,11,,,US,14.65,USD,2016
740,Mockingjay: by Suzanne Collins -- Sidekick,['Bookbuddy'],CreateSpace,2014-01-11,1494945290,9781494945299,38,,,,,,2014
742,CliffsNotes on Collins’ Mockingjay,['Janelle Blasdel'],Houghton Mifflin Harcourt,2014-05-06,1470106396,9781470106393,30,,,US,2.99,USD,2014
744,Kitchen,['Banana Yoshimoto'],Open Road + Grove/Atlantic,2015-09-15,0802190464,9780802190468,160,3.5,50,US,10.99,USD,2015
745,Kitchen,['Banana Yoshimoto'],Gallimard Education,1996,2070394867,9782070394869,149,,,,,,1996
746,KITCHEN,['Banana Yoshimoto'],"Tusquets Editores, S.A.",1994,8472238377,9788472238374,208,5,1,,,,1994
